,name,price,rating,dis_ends,dis_start,release,discount
491,Kawaii Girls,1.37 SR,65.42%,in 12 days,9 days ago,4 months ago,-50%
492,PUZZLE: OCEAN,1.38 SR,65.42%,in 12 days,9 days ago,3 years ago,-49%
493,Climb Fall Human Guys,1.65 SR,65.42%,in 12 days,9 days ago,10 months ago,-40%
494,"The Wasteland Trucker
new historical low",22.45 SR,65.42%,in 5 days,2 days ago,3 days ago,-10%
495,Lost Artifacts: Time Machine,2.99 SR,65.38%,in 3 days,4 days ago,3 years ago,-90%
496,"Fishing Sim World: Bass Pro Shops Edition
lowest price is 26.97 SR at -55%",29.97 SR,65.38%,in 5 days,2 days ago,13 months ago,-50%
497,Control Craft 2,1.37 SR,65.30%,in 5 days,9 days ago,6 years ago,-50%
498,Picross Bonbon - Nonogram,1.43 SR,65.17%,,,,-88%
499,"WIN THE GAME!
lowest price is 1.37 SR at -50%",1.38 SR,65.15%,,,,-49%
500,Adventure of Bears,1.37 SR,65.03%,,,,-50%
501,"Super Army of Tentacles 3: The Search for Army of Tentacles 2
lowest price is 13.65 SR at -61%",22.75 SR,65.00%,,,,-35%
502,Chronicle of Daneya,4.48 SR,64.78%,in 12 days,9 days ago,2 years ago,-75%
503,Skeleton Wave,1.37 SR,64.78%,in 7 days,4 hours ago,7 months ago,-50%
504,"История бомжа 2: полицейский беспредел
new historical low",1.51 SR,64.78%,in 5 days,9 days ago,2 months ago,-45%
505,"Void -Dementia-
new historical low",26.95 SR,64.78%,in 3 days,4 days ago,5 days ago,-10%
506,"记忆重现/Rememory
lowest price is 3.58 SR at -70%",5.97 SR,64.71%,in 7 days,7 days ago,2 years ago,-50%
507,Confessions,6.36 SR,64.52%,in 12 days,9 days ago,4 months ago,-20%
508,"The Catch: Carp & Coarse Fishing
lowest price is 12.49 SR at -50%",30.51 SR,64.48%,in 5 days,2 days ago,17 months ago,-35%
509,"Santa's Big Adventures
lowest price is 1.56 SR at -61%",1.96 SR,64.40%,in 12 days,2 days ago,5 years ago,-51%
510,"Dino Zoo Transport Simulator
lowest price is 1.37 SR at -68%",1.40 SR,64.32%,in 13 days,yesterday,2 years ago,-67%
511,BomberZone,1.37 SR,64.25%,in 12 days,9 days ago,6 years ago,-50%
512,Night Sing,4.18 SR,64.20%,in 13 days,yesterday,2 years ago,-70%
513,"Pixel Ninja
lowest price is 1.37 SR at -50%",1.79 SR,64.08%,in 10 days,yesterday,16 months ago,-90%
514,Solitaire Jack Frost Winter Adventures 2,1.43 SR,64.08%,in 3 days,4 days ago,7 months ago,-88%
515,"Neon Blast
lowest price is 1.37 SR at -50%",2.39 SR,64.08%,in 6 days,8 days ago,3 years ago,-80%
516,"greenTech+ Legacy Edition
lowest price is 1.99 SR at -80%",2.48 SR,64.08%,in 11 days,9 days ago,12 years ago,-75%
517,Space Squadron,1.41 SR,64.08%,in 11 days,9 days ago,13 months ago,-73%
518,Space Force Squadron,1.37 SR,64.08%,in 12 days,2 days ago,14 months ago,-50%
519,Bullet Time,1.37 SR,64.08%,in 8 days,9 days ago,10 months ago,-50%
520,"Killer Gin Battle Arcade
new historical low",10.97 SR,64.08%,,,,-50%
521,"Heavenly Hammer
new historical low",1.37 SR,64.08%,,,,-50%
522,"Farm and Girls
new historical low",1.37 SR,64.08%,,,,-50%
523,Dark Running,1.65 SR,64.08%,,,,-40%
524,"2DTo3DModelEditor
lowest price is 10.97 SR at -50%",13.17 SR,64.08%,in 13 days,yesterday,2 years ago,-40%
525,"Recycle My World
lowest price is 5.97 SR at -50%",7.17 SR,64.08%,in 2 days,8 days ago,12 months ago,-40%
526,"Mushroom Hunter
new historical low",16.17 SR,64.08%,in 4 days,3 days ago,4 days ago,-40%
527,"Herbis
lowest price is 1.65 SR at -40%",1.92 SR,64.08%,in 4 days,3 days ago,8 months ago,-30%
528,"Jack and the Beanstalk Jigsaw Puzzle
new historical low",3.67 SR,64.08%,in 2 days,5 days ago,8 days ago,-30%
529,"ShootOut(SystemD)
new historical low",20.21 SR,64.08%,in 2 days,12 days ago,2 months ago,-25%
530,"PAGO FOREST: DRAGON'S REVENGE
lowest price is 2.49 SR at -90%",11.16 SR,64.08%,in 3 days,11 days ago,13 months ago,-20%
531,"Madness Beverage
new historical low",25.45 SR,64.08%,in 4 days,3 days ago,4 days ago,-15%
532,"BOXNIGMA
new historical low",2.33 SR,64.08%,in 4 days,3 days ago,4 days ago,-15%
533,"DelayedSun
new historical low",10.75 SR,64.08%,in 6 days,20 hours ago,2 days ago,-10%
534,"Elfin Clay
new historical low",28.75 SR,64.08%,in 6 days,22 hours ago,2 days ago,-10%
535,"Across the Galaxy: Stellar Dominator
new historical low",19.75 SR,64.08%,in 6 days,yesterday,2 days ago,-10%
536,Girls and Dragons,1.37 SR,64.07%,in 12 days,9 days ago,8 months ago,-50%
537,"Canasta 3D Premium
lowest price is 13.17 SR at -40%",17.97 SR,64.06%,in 13 days,yesterday,3 years ago,-40%
538,"Outbreak: The New Nightmare
lowest price is 4.04 SR at -85%",13.47 SR,63.96%,in 11 days,9 days ago,4 years ago,-50%
539,Chess Valley 2,1.37 SR,63.89%,in 13 days,yesterday,6 months ago,-50%
540,"Regenesis Arcade
lowest price is 1.79 SR at -90%",8.07 SR,63.88%,in 6 days,8 days ago,3 years ago,-55%
541,"RollingSky
lowest price is 7.18 SR at -70%",11.97 SR,63.83%,,,,-50%
542,"Windscape
lowest price is 6.99 SR at -80%",8.73 SR,63.74%,,,,-75%
543,"Bro, where's My head???
new historical low",1.99 SR,63.58%,,,,-80%
544,"Rescue your chickens
lowest price is 1.56 SR at -61%",1.96 SR,63.54%,,,,-51%
545,"Whiskey.Mafia. Leo's Family
lowest price is 2.38 SR at -70%",4.37 SR,63.43%,in 7 days,7 days ago,2 years ago,-45%
546,"Project Lounge
lowest price is 2.19 SR at -90%",2.49 SR,63.41%,in 12 days,2 days ago,5 months ago,-90%
547,"Osozaki 遅咲き Late Blooming - First
lowest price is 8.25 SR at -75%",16.50 SR,63.41%,in 2 days,7 days ago,6 years ago,-50%
548,Dehumanized,2.10 SR,63.32%,in 13 days,yesterday,3 years ago,-60%
549,The Dark Inside Me,8.97 SR,63.13%,in 10 days,4 days ago,4 years ago,-50%
550,PhotoWorld,2.19 SR,63.06%,in 12 days,9 days ago,13 months ago,-90%
551,Underwater Life,2.19 SR,63.06%,in 12 days,9 days ago,8 months ago,-90%
552,"Struggle Offensive
new historical low",1.41 SR,63.04%,in 13 days,yesterday,13 months ago,-73%
553,The Other Side Of The Screen,1.43 SR,62.98%,in 13 days,yesterday,4 years ago,-88%
554,"Outbreak: Lost Hope
lowest price is 4.39 SR at -80%",10.97 SR,62.98%,in 11 days,9 days ago,3 years ago,-50%
555,Farm Day 2021,1.41 SR,62.90%,in 7 days,9 days ago,13 months ago,-73%
556,Prank!,1.37 SR,62.90%,in 14 days,4 hours ago,4 months ago,-50%
557,"World's End Club
new historical low",32.86 SR,62.90%,in 4 days,3 days ago,4 days ago,-30%
558,Hacker Evolution,1.37 SR,62.82%,in 12 days,9 days ago,11 years ago,-50%
559,Crystals of Time,1.37 SR,62.82%,in 12 days,9 days ago,8 years ago,-50%
560,"HERO DEFENSE
lowest price is 4.69 SR at -90%",9.39 SR,62.77%,in 10 days,2 days ago,6 years ago,-80%
561,"Diesel Brothers: Truck Building Simulator
lowest price is 5.24 SR at -85%",6.99 SR,62.63%,in 12 days,2 days ago,3 years ago,-80%
562,"Rage Jump
lowest price is 1.41 SR at -73%",1.43 SR,62.51%,,,,-88%
563,Fantasy and Girls,1.37 SR,62.51%,,,,-50%
564,"Furry Shakespeare: Dashing Dinosaurs & Sexy Centaurs
lowest price is 15.14 SR at -31%",16.46 SR,62.51%,,,,-25%
565,"Kingdom Traveler
new historical low",14.36 SR,62.51%,,,,-20%
566,"Loch Ness
new historical low",23.75 SR,62.51%,,,,-15%
567,"Riot of the numbers
lowest price is 1.56 SR at -61%",1.96 SR,62.45%,in 13 days,yesterday,5 years ago,-51%
568,"Endless Universe 2 PC Live Wallpaper
lowest price is 3.97 SR at -50%",5.56 SR,62.40%,in 14 days,4 hours ago,3 years ago,-30%
569,Yet another tower defence,1.57 SR,62.36%,in 13 days,yesterday,3 years ago,-70%
570,Cursed West,1.37 SR,62.24%,in 7 days,7 days ago,5 years ago,-50%
571,"Euro Fishing
lowest price is 8.40 SR at -85%",11.20 SR,62.14%,in 5 days,2 days ago,6 years ago,-80%
572,"The Sandbox of God: Remastered Edition
lowest price is 1.99 SR at -80%",2.48 SR,62.10%,in 11 days,9 days ago,12 years ago,-75%
573,BIOSZARD Corporation,1.37 SR,62.10%,in 11 days,9 days ago,3 years ago,-50%
574,"Gothic 1881
lowest price is 3.28 SR at -67%",4.97 SR,62.10%,in 5 days,9 days ago,12 months ago,-50%
575,Jixxaw,2.62 SR,62.10%,in 13 days,yesterday,9 months ago,-50%
576,"Love on Paper
lowest price is 17.96 SR at -25%",19.16 SR,62.10%,in 14 days,4 hours ago,15 months ago,-20%
577,Time of Piracy,1.37 SR,62.05%,in 14 days,4 hours ago,6 months ago,-50%
578,"Concealment
new historical low",3.98 SR,62.00%,in 3 days,11 days ago,9 months ago,-60%
579,Unicorn and Sweets 2,2.19 SR,61.97%,in 12 days,9 days ago,6 months ago,-90%
580,"Darkheart: Flight of the Harpies
lowest price is 8.96 SR at -25%",9.56 SR,61.97%,in 12 days,2 days ago,4 years ago,-20%
581,"Arc Wizards 3
lowest price is 1.37 SR at -50%",1.79 SR,61.96%,in 10 days,yesterday,11 months ago,-90%
582,Tank Fantastic,2.19 SR,61.95%,in 12 days,9 days ago,6 months ago,-90%
583,"Romancing SaGa 2™
new historical low",11.98 SR,61.90%,in 6 days,7 days ago,4 years ago,-70%
584,"Power of Love
lowest price is 1.37 SR at -50%",1.38 SR,61.80%,,,,-44%
585,Dude Simulator 4,1.43 SR,61.46%,,,,-88%
586,"Hooligan Vasja
lowest price is 1.37 SR at -50%",1.65 SR,61.31%,,,,-40%
587,"Nephise Begins
lowest price is 0.00 SR at -100%",1.37 SR,61.23%,,,,-50%
588,"Centralia: Homecoming
lowest price is 8.89 SR at -67%",9.43 SR,61.08%,,,,-65%
589,Stonedeep,9.88 SR,60.98%,in 12 days,2 days ago,2 months ago,-70%
590,Highway Game,1.37 SR,60.95%,in 12 days,9 days ago,2 years ago,-50%
591,Rebirth:Beware of Mr.Wang,16.15 SR,60.90%,in 14 days,14 hours ago,2 months ago,-19%
592,Zombie Claus,5.02 SR,60.74%,in 13 days,yesterday,2 years ago,-64%
593,The Moment We Met,2.10 SR,60.72%,in 13 days,yesterday,3 years ago,-60%
594,Hentai Boy,1.37 SR,60.65%,in 12 days,9 days ago,6 months ago,-50%
595,Araha : Curse of Yieun Island,18.57 SR,60.57%,in 12 days,9 days ago,2 years ago,-40%
596,"Matanga
lowest price is 1.43 SR at -88%",2.39 SR,60.55%,in 10 days,4 days ago,3 years ago,-80%
597,Queen of Seas 2,1.37 SR,60.55%,in 11 days,9 days ago,4 years ago,-50%
598,"Let's Learn Shogi
new historical low",7.97 SR,60.54%,in 12 days,2 days ago,12 months ago,-50%
599,Endless Furry Clicker,1.37 SR,60.54%,in 12 days,2 days ago,10 months ago,-50%
600,"Hentai Pair
lowest price is 1.37 SR at -50%",1.65 SR,60.54%,in 8 days,8 days ago,2 years ago,-40%
601,Asterix & Obelix XXL 3 - The Crystal Menhir,9.39 SR,60.49%,in 5 days,2 days ago,2 years ago,-80%
602,Fable of the Sword,1.57 SR,60.30%,in 13 days,yesterday,4 years ago,-70%
603,Director of Football,4.39 SR,60.28%,in 10 days,4 hours ago,22 years ago,-80%
604,Celia's Quest,1.37 SR,60.28%,in 13 days,17 hours ago,7 years ago,-50%
605,SLASH OF BULLET,10.97 SR,60.28%,in 11 days,9 days ago,8 months ago,-50%
606,SpeedingRoad,1.65 SR,60.28%,,,,-40%
607,"Fruitlockers Reborn! 2
lowest price is 1.43 SR at -88%",8.96 SR,60.28%,,,,-25%
608,"Game club ""Waka-Waka""
lowest price is 1.37 SR at -50%",1.51 SR,60.20%,,,,-45%
609,Kings and Pigs,2.19 SR,60.09%,,,,-90%
610,"North Of Iraq Part 1
lowest price is 1.51 SR at -45%",4.69 SR,59.97%,,,,-90%
611,Strike Solitaire,1.43 SR,59.97%,in 3 days,4 days ago,3 years ago,-88%
612,Wooden House,1.37 SR,59.93%,in 12 days,9 days ago,5 years ago,-50%
613,"Legacy - Witch Island
lowest price is 8.96 SR at -25%",10.15 SR,59.80%,in 12 days,2 days ago,15 months ago,-15%
614,"One Wish
lowest price is 1.37 SR at -50%",1.43 SR,59.64%,in 12 days,9 days ago,4 years ago,-88%
615,WIN THE GAME: DO IT!,1.37 SR,59.63%,in 12 days,9 days ago,4 years ago,-50%
616,Alice's Jigsaw. Wonderland Chronicles,1.43 SR,59.60%,in 3 days,4 days ago,3 years ago,-88%
617,Santa's Toy Factory Nonograms,1.43 SR,59.60%,in 3 days,4 days ago,16 months ago,-88%
618,Hacker Evolution - 2019 HD remaster,1.43 SR,59.60%,in 12 days,9 days ago,2 years ago,-82%
619,Pirate Island Rescue,1.59 SR,59.60%,in 5 days,2 days ago,3 years ago,-80%
620,"Plan Z
new historical low",4.78 SR,59.60%,in 10 days,4 days ago,11 months ago,-60%
621,"Custom Machinery
new historical low",4.97 SR,59.60%,in 10 days,4 days ago,4 months ago,-50%
622,"Dune Girls Attack!
new historical low",4.77 SR,59.60%,in 20 hours,7 days ago,7 days ago,-40%
623,"Danplace
new historical low",3.93 SR,59.60%,in 20 hours,6 days ago,3 months ago,-25%
624,"Inexplicable Geeks: Dawn of Just Us
lowest price is 7.68 SR at -65%",18.65 SR,59.60%,in 12 days,2 days ago,4 years ago,-15%
625,Chetz!,10.75 SR,59.60%,in 20 hours,6 days ago,7 days ago,-10%
626,"Crysis Remastered
new historical low",23.47 SR,59.56%,in 13 days,yesterday,3 months ago,-50%
627,Dark Fantasy Warriors,1.41 SR,59.46%,in 8 days,9 days ago,12 months ago,-73%
628,Bad Day,1.37 SR,59.46%,,,,-50%
629,"MagicalGirl Mimi
lowest price is 1.37 SR at -50%",1.79 SR,59.42%,,,,-90%
630,"Angry Fugu
lowest price is 1.41 SR at -73%",1.43 SR,59.42%,,,,-88%
631,1001 Jigsaw Home Sweet Home Wedding Ceremony,1.43 SR,59.42%,,,,-88%
632,"Freddy Frog
lowest price is 1.99 SR at -80%",3.19 SR,59.42%,,,,-80%
633,Battle Guns Simulator,1.41 SR,59.42%,,,,-73%
634,Zombie Apocalypse 2021,1.41 SR,59.42%,,,,-73%
635,"Join Rush Attack / 加入突袭
new historical low",1.41 SR,59.42%,,,,-73%
636,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,7.42 SR,59.42%,,,,-69%
637,"Steel Eagle
lowest price is 1.51 SR at -45%",2.62 SR,59.42%,,,,-67%
638,My Personal World,1.37 SR,59.42%,,,,-50%
639,"Tanks in Labyrinth
new historical low",2.62 SR,59.42%,,,,-50%
640,Endless Furry Asteroids,1.37 SR,59.42%,,,,-50%
641,"Christmas Horror
new historical low",5.16 SR,59.42%,,,,-35%
642,"BunnyShot
lowest price is 1.65 SR at -40%",1.92 SR,59.42%,,,,-30%
643,"Artifacting
lowest price is 2.62 SR at -50%",3.67 SR,59.42%,,,,-30%
644,"Magurele Mystery
new historical low",6.96 SR,59.42%,,,,-30%
645,"Stint: Rift Apart
new historical low",6.96 SR,59.42%,,,,-30%
646,"Dragon Slaying
new historical low",3.67 SR,59.42%,,,,-30%
647,"Space Station 51
new historical low",16.46 SR,59.42%,,,,-25%
648,"Fantasy Gardens
new historical low",13.46 SR,59.42%,,,,-25%
649,"Alien Age
new historical low",10.46 SR,59.42%,,,,-25%
650,"Comixxx Jixxaw
new historical low",3.93 SR,59.42%,,,,-25%
651,"Renryuu: Ascension
new historical low",22.46 SR,59.42%,,,,-25%
652,"Examination Chambers
new historical low",3.93 SR,59.42%,,,,-25%
653,"Hunt the Lights
lowest price is 1.65 SR at -40%",2.20 SR,59.42%,,,,-20%
654,"Quest of Wizard
new historical low",6.36 SR,59.42%,,,,-20%
655,"Sky DarkCrow
new historical low",6.36 SR,59.42%,in 3 days,4 days ago,5 days ago,-20%
656,"KeyHero
new historical low",4.20 SR,59.42%,in 5 days,2 days ago,3 days ago,-20%
657,"HOLY COW! Milking Simulator
new historical low",18.65 SR,59.42%,in 6 days,yesterday,2 days ago,-15%
658,"Hentai Neko Mosaic!
new historical low",2.33 SR,59.42%,in 7 days,5 hours ago,22 hours ago,-15%
659,"Alpha Zoo
new historical low",10.16 SR,59.42%,in 4 days,3 days ago,5 days ago,-15%
660,"Furries & Scalies: Super Scary Halloween Spooky Times
lowest price is 18.65 SR at -15%",19.75 SR,59.42%,in 12 days,9 days ago,2 years ago,-10%
661,"Icing
new historical low",35.95 SR,59.42%,in 7 days,14 hours ago,22 hours ago,-10%
662,"Toy Kingdom 3
new historical low",28.75 SR,59.42%,in 20 hours,6 days ago,7 days ago,-10%
663,"Beer Pong League
lowest price is 1.43 SR at -88%",2.39 SR,59.40%,in 12 days,9 days ago,3 years ago,-80%
664,Little adventure 2,1.99 SR,59.37%,in 13 days,yesterday,4 months ago,-80%
665,"Bustories
lowest price is 1.39 SR at -86%",4.97 SR,59.30%,in 5 hours,14 days ago,4 years ago,-50%
666,"Demon's Residence
new historical low",4.97 SR,59.10%,in 12 days,2 days ago,4 months ago,-50%
667,"Cold Cable: Lifeshift
lowest price is 1.37 SR at -50%",1.65 SR,59.00%,in 12 days,2 days ago,3 years ago,-40%
668,Outbreak: Endless Nightmares,19.46 SR,59.00%,in 11 days,9 days ago,7 months ago,-35%
669,sWORD MASTER,1.37 SR,58.97%,in 13 days,yesterday,4 years ago,-50%
670,"KILLING A SUPERSTAR
new historical low",12.47 SR,58.97%,in 8 days,6 days ago,11 months ago,-50%
671,"Amanda's Sticker Book
lowest price is 1.99 SR at -80%",8.45 SR,58.97%,in 12 days,2 days ago,3 years ago,-15%
672,"Defense of Roman Britain
lowest price is 7.00 SR at -65%",8.00 SR,58.95%,,,,-60%
673,Hentai 2+2=4,1.38 SR,58.62%,,,,-49%
674,"Iron Warriors: T - 72 Tank Command
lowest price is 1.70 SR at -90%",3.40 SR,58.57%,,,,-80%
675,"Cat Girl
lowest price is 1.40 SR at -65%",2.00 SR,58.56%,,,,-50%
676,LineVox,2.19 SR,58.55%,,,,-90%
677,TOP TRUCK DRIVER,2.19 SR,58.55%,in 12 days,9 days ago,9 months ago,-90%
678,"Mystery Masterpiece: The Moonstone
lowest price is 5.97 SR at -50%",9.56 SR,58.55%,in 12 days,2 days ago,3 years ago,-20%
679,"Furry Puzzle
lowest price is 1.37 SR at -50%",1.65 SR,58.49%,in 7 days,2 days ago,4 months ago,-40%
680,"Outbreak
lowest price is 2.19 SR at -90%",10.97 SR,58.40%,in 11 days,9 days ago,5 years ago,-50%
681,"Dragon Banner
lowest price is 3.49 SR at -90%",13.47 SR,58.33%,in 8 days,2 days ago,2 years ago,-55%
682,Goblin Walker,2.38 SR,57.98%,in 13 days,yesterday,3 years ago,-70%
683,"Pokitaire
lowest price is 4.99 SR at -50%",7.99 SR,57.96%,in 12 days,2 days ago,9 months ago,-20%
684,ZAR,2.19 SR,57.82%,in 12 days,9 days ago,7 months ago,-90%
685,"Energy Engine PC Live Wallpaper
lowest price is 5.97 SR at -40%",6.96 SR,57.82%,in 14 days,4 hours ago,3 years ago,-30%
686,Transporter Truck Simulator,1.37 SR,57.76%,in 13 days,yesterday,2 years ago,-50%
687,PIRATECRAFT,1.37 SR,57.73%,in 12 days,9 days ago,9 months ago,-50%
688,Crab Cakes Rescue,2.39 SR,57.65%,in 13 days,yesterday,7 years ago,-85%
689,Hentai Girlfriend Simulator,1.65 SR,57.61%,in 14 days,4 hours ago,2 years ago,-40%
690,"The Walking Evil
lowest price is 14.01 SR at -48%",14.55 SR,57.54%,in 13 days,yesterday,2 years ago,-46%
691,Fortune and Gloria,4.39 SR,57.39%,in 5 days,9 days ago,3 years ago,-80%
692,Data mining 8,1.41 SR,57.39%,in 13 days,yesterday,2 years ago,-73%
693,Battle Royale Craft,1.41 SR,57.39%,in 8 days,9 days ago,9 months ago,-73%
694,Lovely Archeologists,1.37 SR,57.39%,,,,-50%
695,"Animals Fight
new historical low",1.51 SR,57.39%,,,,-45%
696,Riders 2491,1.59 SR,57.18%,,,,-80%
697,"Flowers Garden Solitaire
lowest price is 4.97 SR at -50%",8.45 SR,57.18%,,,,-15%
698,Mouse Hunter,2.19 SR,57.17%,,,,-90%
699,"Poly Squad
lowest price is 2.98 SR at -75%",4.06 SR,57.03%,in 13 days,yesterday,10 months ago,-66%
700,Hentai Simulator,3.15 SR,57.02%,in 14 days,4 hours ago,15 months ago,-40%
701,"Little Jack's Adventures
lowest price is 1.56 SR at -61%",1.96 SR,56.81%,in 12 days,2 days ago,5 years ago,-51%
702,"Victorian Mysteries: Woman in White
lowest price is 5.97 SR at -50%",8.96 SR,56.60%,in 12 days,2 days ago,2 years ago,-25%
703,Drift Stunt Racing 2019,1.37 SR,56.53%,in 13 days,yesterday,3 years ago,-50%
704,Hacker Evolution: Untold,1.37 SR,56.29%,in 12 days,9 days ago,11 years ago,-50%
705,ZenFarm,1.41 SR,56.05%,in 8 days,9 days ago,10 months ago,-73%
706,Soup!,1.37 SR,56.05%,in 11 days,3 days ago,4 months ago,-50%
707,"Crazy Truck
new historical low",1.51 SR,56.05%,in 13 days,yesterday,2 months ago,-45%
708,"Khospis
lowest price is 1.37 SR at -50%",2.06 SR,56.05%,in 10 days,4 days ago,3 years ago,-25%
709,Village Bus Driver Simulator,1.37 SR,55.97%,in 13 days,yesterday,2 years ago,-50%
710,"Money Bath VR / 札束風呂VR
lowest price is 5.01 SR at -58%",9.56 SR,55.77%,in 11 days,9 days ago,3 years ago,-20%
711,Solitaire Game Halloween 2,1.43 SR,55.69%,in 3 days,4 days ago,7 months ago,-88%
712,Jurassic mahjong,1.43 SR,55.69%,in 3 days,4 days ago,7 months ago,-88%
713,Edifice of Fiends,2.39 SR,55.69%,in 13 days,yesterday,10 months ago,-80%
714,"Shadow Fear™ Path to Insanity
lowest price is 4.39 SR at -80%",10.97 SR,55.69%,in 11 days,3 days ago,3 years ago,-50%
715,Adventure Field™ 4,10.97 SR,55.69%,in 11 days,3 days ago,10 months ago,-50%
716,VR Another World,5.97 SR,55.69%,,,,-50%
717,"Demon Runner The Forsaken
new historical low",2.62 SR,55.69%,,,,-50%
718,"Let's Learn Janggi (Korean Chess)
new historical low",9.57 SR,55.69%,,,,-40%
719,Seek Girl Ⅷ,4.20 SR,55.66%,,,,-20%
720,Roulette Simulator 2,1.37 SR,55.55%,,,,-50%
721,Go-Kart Racing,1.37 SR,55.48%,in 13 days,yesterday,4 years ago,-50%
722,aMAZE Frozen,1.37 SR,55.45%,in 13 days,yesterday,4 years ago,-50%
723,"The Agony
lowest price is 1.37 SR at -66%",1.39 SR,55.41%,in 11 days,9 days ago,5 years ago,-72%
724,"Junkyard Simulator
new historical low",26.51 SR,55.27%,in 14 days,4 hours ago,2 months ago,-17%
725,Call Of The Mighty Warriors,1.37 SR,55.18%,tomorrow,13 days ago,6 years ago,-50%
726,GraFi 2,1.41 SR,55.17%,in 13 days,yesterday,3 years ago,-73%
727,"Jungle Z
lowest price is 8.08 SR at -70%",13.47 SR,55.14%,in 7 days,7 days ago,3 years ago,-50%
728,Hentai ASMR,1.41 SR,55.13%,in 9 days,5 days ago,12 months ago,-73%
729,"RideOp - Thrill Ride Simulator
lowest price is 25.20 SR at -55%",28.00 SR,55.07%,in 12 days,2 days ago,3 years ago,-50%
730,"Holy Avatar vs. Maidens of the Dead
lowest price is 3.30 SR at -90%",6.60 SR,55.05%,in 10 days,2 days ago,8 years ago,-80%
731,"The Life Of Greather
lowest price is 1.37 SR at -74%",1.41 SR,55.02%,in 12 days,9 days ago,5 years ago,-73%
732,Blackjack In Space,1.37 SR,54.96%,in 13 days,yesterday,4 years ago,-50%
733,"Academy of Magic: Dark Possession
new historical low",10.46 SR,54.48%,in 12 days,2 days ago,4 months ago,-25%
734,TUTUTUTU - Tea party,3.09 SR,54.17%,in 14 days,4 hours ago,2 years ago,-90%
735,Olympus Griddlers,1.43 SR,54.17%,in 3 days,4 days ago,16 months ago,-88%
736,Choco Pixel 4,1.41 SR,54.17%,in 13 days,yesterday,2 years ago,-73%
